1,城の屋根の平瓦と丸瓦を交互に組み合わせる葺き方をなんと言うか。,平丸瓦葺き,本瓦葺き,天守瓦葺き,桟瓦葺き,2
2,現在でも船蔵が残る城下町はどれか。,今治,高松,諏訪,萩,4
3,天守に多く用いられる懸魚は蕪懸魚だが、望楼型天守の基部の大きな入母屋破風で使われる懸魚は。,大蕪懸魚,三花蕪懸魚,社寺蕪懸魚,三蕪懸魚,2
4,八王子城で出土したレースガラス製品の生産地はどこと推定されているか。,上海,ロンドン,ベネチア,ボヘミア,3
5,岐阜にはふたつの岐阜城があると言われる。金華山の岐阜城ともう一つはどこか。,黒野城,加納城,革手城,跡部城,2
6,幕末に幕府が海防のため築いた砲台のうち現存するのはどれか。,神戸市川崎,神戸市和田岬,南あわじ市松帆,西宮市今津,2
7,懸け造りの建築物が復元されている城は。,津山城,津和野城,岩国城,福山城,4
8,ルイス・フロイスが信長と二度目に会見したのは築城中の堀にかかる橋の上だった。どこか。,小牧山城,二条城,安土城,岐阜城,2
9,第二次長州征伐の際に幕府軍が敗走する中で焼失した城は。,山口城,益田城,高嶺城,浜田城,4
10,現存天守で一番低いのは。,備中松山城,宇和島城,丸亀城,丸岡城,1
11,松前城は搦手からの攻撃で一日で落城した。攻撃側の司令官は。,板垣退助,土方歳三,桐野利秋,榎本武揚,2
12,城の修復には許可が必要とされた武家諸法度だが、寛永12年に改訂され、元通りの修復なら届け出なくてもよくなったのはどの部分か。,土塁,石垣,堀,櫓,4
13,徳川家康は浜松城に17年いたが、この間に戦っていない戦いはどれか。,長篠,姉川,小田原,小牧長久手,3
14,福岡城の黒田長政は一国一城令が出るまで6つの城を持っていた。そのうち後藤又兵衛が居城にしていたのは。,益富(大隈)城,若松,高取山,黒崎,1
15,現存櫓と城名の組み合わせで正しくないのはどれか。,天秤櫓-彦根城,巽櫓-明石城,二の丸太鼓櫓-弘前城,月見櫓-高松城,3
16,茶室「如庵」を作った信長の弟は。,織田信考,織田信雄,織田長益,織田信包,3
17,近年、エッゲンベルク城(オーストリア)で日本の慶長期の著名な城・城下が描かれた日本屏風が発見され話題となった。どこか。,仙台城,名古屋城,江戸城,大坂城,4
18,小村寿太郎が学んだ藩校振徳堂が現存しているのはどこか。,水戸城,米沢城,飫肥城,松本城,3
19,武家諸法度で新たな築城を禁じたが、石高10万石にふさわしいとの理由で丹羽長重が築城を認められたのはどこか。,会津若松城,白河小峰城,二本松城,宇都宮,2
20,信長が屏風に安土城を描かせローマ法王に献上したが、その絵師は。,狩野永徳,狩野山楽,長谷川等伯,海北友松,1
21,中国の城の特徴は、黄土をつき固めて構築した城壁、後に黄土を焼き固めた磚(セン)と言われるレンガで表面を覆った城壁などで都市全体が囲まれていることである。このような城をなんと言うか。,城郭都市,長城,都市国家城,包囲城,1
22,関ヶ原後、次の戦いに備えて慶長の築城ラッシュとなった。徳川城郭の特徴は平面プランがほとんど共通なのだが、篠山城と相似形の城とされるのはどれか。,淀城,水口城,名古屋城,伏見城,3
23,加藤清正が明軍に包囲され苦戦した倭城はどれか。,西生浦倭城,蔚山倭城,東菜倭城,釜山倭城,2
24,清洲評定で柴田勝家の所有となり、その後山内一豊、関ヶ原後は内藤氏が入ったが一国一城令で廃城となったのは。,長浜城,小谷城,高松城,山崎山城,1
25,本丸北東面にひな壇状の6段石垣があり、信長の叔母が城主だった城はどれか。,安土城,岐阜城,岩村城,七尾城,3
26,鳥取の池田氏で一国一城令後も残された支城は。,米子城,松江城,浜田城,出石城,1
27,南北朝時代に国司代に任ぜられた南部氏が、南朝方の陸奥の拠点として修築した城は。,八戸城,根城,南部城,陸奥城,2
28,藤堂家は二国を支配したので一国一城令後も二城を保有していた。伊賀上野のほかにもう一つはどこか。,津城,今治城,篠山城,大洲城,1
29,戦災で焼失した仙台城大手門の形式は。,高麗門,薬医門,四脚門,櫓門,4
30,もっとも櫓が多かった城は。,岡山城,広島城,熊本城,福山城,2
31,築城中だった巨大な城・神指城は、築城者が関ヶ原で敗れ減封となったため取りやめ廃城となった。築城者は誰か。,宇喜多秀家,毛利輝元,上杉景勝,佐竹義宣,3
32,枡形虎口で前後に高麗門と櫓門を備えていないのはどれか。,丸亀城大手門,大坂城大手門,弘前城大手門,金沢城石川門,3
33,姫路城や丸亀城の天守の破風には、唐破風の中に社寺建築で使われる山形の部材が用いられているが、それは何か。,梅鉢,蟇股,懸魚,蕪,2
34,L字型をした特異な二重櫓はどれか。,岡山城西の手櫓,二条城西南隅櫓,大坂城二の丸乾櫓,江戸城桜田巽櫓,3
35,囲炉裏がある唯一の天守はどれか。,新発田城,久保田城,松江城,備中松山城,4
36,広島城天守のように、外壁の裾を斜めに張り出させる石落としの型は何型というか。,裾型,袴腰型,袴型,腰型,2
37,次の現存櫓で最も古い櫓はどれか。,上田城西櫓,高松城艮櫓,備中松山城二重櫓,福山城伏見櫓,4
38,近世の御用米曲輪の発掘で、最近その下層から戦国時代の庭園が見つかったのは。,小谷城,小田原城,新府城,高取城,2
39,二条城の御殿の大広間天井はきわめて格式の高い天井だが、なんと言うか。,格天井,折上天井,二重折上格天井,小組格天井,3
40,層塔型天守である津山城天守にはあるものがないため、屋根に邪魔されずに自由に鉄砲が打てるシンプルな外観であった。そのあるものとは何か。,千鳥,破風,望楼,軒唐,2
41,天守の下見板張を塗る墨を作る方法の一つに、煤とある材料を混ぜて墨を作ったが、ある材料とは。,胡麻油,菜種油,柿渋,膠,3
42,天守の中で華頭窓を一切使用していない城はどれか。,犬山城,名古屋城,松江城,彦根城,2
43,大型天守の屋根に見られる、隣り合わせに破風を二つ並べたものをなんというか。,双破風,比翼破風,飛翼破風,隣接破風,2
44,丸亀城天守は大砲弾の直撃にも耐える強固な土壁を二重に造り、その中に瓦礫をつめた重防備のものだった。これをなんと言うか。,瓦礫込み壁,二重壁,強化壁,太鼓壁,4
45,層塔型天守は寺院の塔のように下重の部材の上に上重の柱を立てて四方へ葺きおろすだけの屋根を積み上げた形式である。下重の部材をなんと言うか。,屋根,柱,梁,部屋,3
46,石垣の分類に一般的に使用されている野面積み、打込接、切込接という言葉は、荻生徂徠が著書の中で使用したのが最初である。その著書は。,「弁道」,「鈐録(けんろく)」,「徂徠記」,「政談」,2
47,天守の外壁は竹を縦横に組んで作った格子を骨組みとして壁土を重ね塗りした土壁である。その格子はどれか。,小舞,竹格子,内格子,骨格子,1
48,飛鳥時代から寺院・神社本殿に設けられ、織豊時代以後の城の天守の最上階に取り入れられるようになったのはどれか。,縁側,高欄,天守廻,廻縁,2
49,幕末の長州征伐の際、中立を保ち城が戦火を免れた藩はどれか。,津山藩,浜田藩,津和野藩,米子藩,3
50,天守や櫓の窓は、外壁の一間ごとの太い柱の間の土壁に、幅が半間で一本の建具として設けられたのが普通だが、この窓の開閉方法はどれか。,全開き,半開き,片引き,半引き,3
51,曲輪には役割や方位によってさまざまな名称がついている。水手曲輪はどの名称と同義語か。,井戸曲輪,帯曲輪,太鼓曲輪,腰曲輪,1
