1,南北朝時代に斯波氏が築城、現在見る縄張りは鳥居忠政の改修とされ、それまでの二の丸虎口は外枡形または馬出だったが、内枡形に直された城はどれか。,高天神城,山形城,高松城,七尾城,2
2,箱根用水、玉川用水と並んで日本３大用水といわれ、11kmにわたる辰巳用水が水を供給している城はどれか。,金沢城,松代城,高岡城,膳所城,1
3,本丸を輪のように二の丸、三の丸で取り囲んだ輪郭式の縄張りでない城はどれか。,高田城,篠山城,駿府城,岡山城,4
4,本丸と二の丸、三の丸が一直線に並んだ縄張りである連郭式に当てはまらない城はどれか。,盛岡城,大垣城,島原城,小田原城,4
5,天守の階段は多くの場合、硬くてすり減りにくく、軽くて取りつけやすいとされる木材が使われている。それはどれか。,桐,檜,杉,楢,1
6,城内に井戸は無く、城内の用水は土管の水道に頼っていたことが、城内水筋絵図に示されている海城はどれか。,今治城,高松城,赤穂城,三原城,3
7,肥前名護屋城は黒田孝高の縄張りといわれているが、普請奉行は3名だった。次の中で普請奉行でないのは誰か。,加藤清正,福島正則,小西行長,黒田長政,2
8,関ヶ原の戦い後、次の戦いに備えて慶長の築城ラッシュとなった。徳川城郭の特徴は、平面プランがほとんど共通していて、省エネ城郭と言える。篠山城と相似形の城とされるのはどれか。,水口城,淀城,伏見城,名古屋城,4
9,秀吉が築城した京都の聚楽第の縄張的遺構とも考えられ、今なお市内に一部残る遺構はどれか。,御枡形,御石塁,御馬出し,御土居,4
10,約1.5キロに及ぶ監物堀と呼ばれる長大な堀と土塁の「総構え」の一部が残る中世の城はどれか。,七尾城,春日山城,箕輪城,新発田城,2
11,城石垣の石材の運搬は、陸上では古墳石室の石材運搬などに古くから行われてきた、多数の丸太を敷いてその上のソリに石を乗せて綱で引いて運搬した。このソリを何というか。,修羅,二股,船板,陸舟,1
12,沖縄諸島のグスクの石垣は本土の近世城郭石垣にはない特徴がある。その特徴の記述で誤りはどれか。,石垣は垂直に近い。,壮大な石垣で曲線を描いている。,算木積みが使われていない。,扇の石垣のような反りはある。,4
