1,城の堀にかけてある橋にはさまざまな工夫が見られるが、ヨ‐ロッパではよくあるが日本では少ない橋はどれか。,はね橋,廊下橋,算盤橋,筋違い橋,1
2,総構で縄張りされなかった城下町はどれか。,大坂,松本,金沢,小田原,2
3,盛岡城はある分野での東北三大名の一つとされるがその分野とは。,縄張り,堀,石垣,柵,3
4,後北条が小田原城を中心に関東周辺に支城ネットワークを築いたが支城で無いのはどれか。,金山城,八王子城,鉢形城,新井城,4
5,普通の石垣は平地に作られ上部は水平だが松山城や彦根城には麓から上部にかけて斜面に続く石垣があるこの石垣の名称はどれか。,登り石垣,朝鮮式石垣,山城石垣,斜め石垣,1
6,徳川家康は江戸市内の山を切り崩して日比谷入り江を埋め立てました切り崩した山は次のどれか。,池田山,神田山,紅葉山,上野山,2
7,徳川家康は諸国の大名に作業分担させる天下普請で多くの城を造ったが次の城で徳川の天下普請の城はどれか。,掛川城,篠山城,名護屋城,広島城,2
8,徳川300諸侯と言われる大名達のうち100家ほどが無城大名でしたその居所の名は。,本屋敷,御家人屋敷,武家屋敷,陣屋,4
9,写真の城は徳川幕府による西国監視の最前線として築かれた城で、天守の北面外壁鉄板が使用され伏見城から移築された櫓がある城はどれか。,福山城,岩国城,広島城,郡山城,1
10,本丸で無く二の丸に天守に代わる櫓が在る城はどれか。,高岡城,伊賀上野城,水戸城,佐倉城,3
11,近世の城下町は4つの要素から町割りが行われた。その要素とは城、武家屋敷、町家と何か。,寺社,農地,市場,宿場,1
12,彦根城の建物は徳川家康の支援で井伊家が慶長年間に琵琶湖周辺の廃城の建物や用材を活用して建てた。国宝天守はどの城の物だったといわれているか。,小谷城,大津城,佐和山城,長浜城,2
13,姫路城の昭和の大修理の際大天守を支えるためにこれまでない工法がとられたがそれは何か。,プラッチックの屋根瓦,鉄筋コンクリートの基礎,鉄筋コンクリートの壁,鉄筋コンクリートの柱,2
14,熊本城の本丸御殿は平成20年に復元されたが、御殿床下の地下道も体験できる地下道の名はどれか。,抜け道路,床下通路,忍者通路,闇がり通路,4
